route_id,avg_trip_duration_minutes,trip_count,route_long_name,route_type,route_text_color,route_color,agency_id,route_url,route_desc,route_short_name
6622,79.26849315068493,1095,29th Avenue Station/Arbutus,3,,,TL,https://translink.ca/schedules-and-maps/route/16/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=16,,016
11693,79.08130081300813,123,22nd St Station/Carvolth Exchange,3,,,TL,https://translink.ca/schedules-and-maps/route/388/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=388,,388
6770,75.0,26,West Coast Express,2,FFFFFF,87189d,TL,https://translink.ca/schedules-and-maps/line/west-coast-express/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_line&utm_term=west-coast-express,,WCE
6834,74.63157894736842,114,Downtown/Surrey Central Station NightBus,3,,,TL,https://translink.ca/schedules-and-maps/route/N19/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N19,,N19
6617,70.67792792792793,888,Nanaimo Station/Dunbar,3,,,TL,https://translink.ca/schedules-and-maps/route/7/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=7,,007
6841,69.53947368421052,152,Downtown/Lougheed Station/Coquitlam Central Station,3,,,TL,https://translink.ca/schedules-and-maps/route/N9/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=N9,,N9
6717,69.19444444444444,36,White Rock South/Bridgeport Station,3,,,TL,https://translink.ca/schedules-and-maps/route/354/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=354,,354
6627,67.84407484407484,962,Brentwood Station/UBC,3,,,TL,https://translink.ca/schedules-and-maps/route/25/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=25,,025
23384,67.1842088506845,1047,Aldergrove/Surrey Central Station,3,,,TL,https://translink.ca/schedules-and-maps/route/503/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=503,,503
6737,64.65346534653466,606,Langley Centre/Surrey Central Station,3,,,TL,https://translink.ca/schedules-and-maps/route/501/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=501,,501
